lambda1,lambda2,lambda3,x_optimal,loss_optimal,cov_11,cov_12,cov_13,cov_21,cov_22,cov_23,cov_31,cov_32,cov_33,sensitivity_norm
0.17605194143679054,0.3272227689548546,0.49672528960835494,"[0.  0.  0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5
 0.5 0.5 0.5 0.5]",0.17605194143679062,0.9999999999999926,1.6653345369377348e-12,-1.6653345369377348e-12,1.6653345369377348e-12,2.220446049250313e-14,-400.00000000000813,-1.6653345369377348e-12,-400.00000000000813,-0.4999999999999394,565.6865298025161
0.5040801097336183,0.4479275949032958,0.04799229536308584,"[1.         0.93851732 0.5        0.5        0.5        0.5
 0.5        0.5        0.5        0.5        0.5        0.5
 0.5        0.5        0.5        0.5        0.5        0.5
 0.5        0.5        0.5        0.50000001]",0.04799229536308589,-1.0000000000000009,-200.00000000000045,400.00000000000006,-200.00000000000045,-1.0000000000000022,400.00000000000006,400.00000000000006,400.00000000000006,1.0000000000000009,848.5299051889689
0.861323116507946,0.029525448402717012,0.109151435089337,"[0.         1.         0.49999999 0.49999999 0.49999999 0.49999999
 0.49999999 0.49999999 0.49999999 0.49999999 0.49999999 0.49999999
 0.49999999 0.49999999 0.49999999 0.49999999 0.49999999 0.49999999
 0.49999999 0.49999999 0.49999999 0.49999999]",0.02952544840271709,1.2628786905111156e-13,200.00000000000378,-399.99999999997857,200.00000000000378,1.000000000000048,1.6132928326584306e-11,-399.99999999997857,1.6132928326584306e-11,-0.5000000000000018,632.4565202446479
0.4823923290606628,0.06025244905568988,0.4573552218836472,"[0.         1.         0.50000002 0.50000002 0.50000002 0.50000002
 0.50000002 0.50000002 0.50000002 0.50000002 0.50000002 0.50000002
 0.50000002 0.50000002 0.50000002 0.50000002 0.50000002 0.50000002
 0.50000002 0.50000002 0.50000002 0.50000002]",0.06025244905569019,-2.7755575615628914e-14,199.99999999999517,-400.0000000000056,199.99999999999517,0.9999999999999731,-4.9960036108132044e-12,-400.0000000000056,-4.9960036108132044e-12,-0.500000000000024,632.4565202446767
0.28146704201624323,0.42908502727747055,0.2894479307062861,"[0.  0.  0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5
 0.5 0.5 0.5 0.5]",0.28146704201624323,-0.2019111309957078,-40.382226199141556,240.3822261991417,-40.382226199141556,-0.20191113099571334,-359.61777380085766,240.3822261991417,-359.61777380085766,-0.4999999999999061,614.3931117238272
0.017830084257974454,0.17023643301801628,0.8119334827240093,"[0.  0.  0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5
 0.5 0.5 0.5 0.5]",0.017830084257974454,1.0000000000000022,5.551115123125783e-13,-2.7755575615628914e-13,5.551115123125783e-13,4.5102810375396984e-15,-400.00000000000074,-2.7755575615628914e-13,-400.00000000000074,-0.4999999999999997,565.6865298025057
0.21359264783622092,0.0805258277313452,0.7058815244324339,"[0.         1.         0.49999999 0.49999999 0.49999999 0.49999999
 0.49999999 0.49999999 0.49999999 0.49999999 0.49999999 0.49999999
 0.49999999 0.49999999 0.49999999 0.49999999 0.49999999 0.49999999
 0.49999999 0.49999999 0.49999998 0.49999999]",0.0805258277313454,-1.2490009027033011e-14,199.9999999999971,-400.0000000000012,199.9999999999971,1.0000000000000273,-1.2490009027033011e-11,-400.0000000000012,-1.2490009027033011e-11,-0.5000000000000184,632.4565202446723
0.18300235795354575,0.4438157520961563,0.3731818899502978,"[0.  0.  0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5
 0.5 0.5 0.5 0.5]",0.18300235795354575,1.0000000000000175,2.220446049250313e-12,0.0,2.220446049250313e-12,2.7755575615628914e-14,-400.0000000000059,0.0,-400.0000000000059,-0.499999999999981,565.6865298025131
0.5383256981748362,0.43345649180657436,0.028217810018589407,"[1.  0.  0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5
 0.5 0.5 0.5 0.5]",0.028217810018589442,-0.9999999999999994,-199.9999999999996,399.99999999999994,-199.9999999999996,-1.0000000000000004,399.99999999999983,399.99999999999994,399.99999999999983,1.0000000000000004,848.5299051889681
0.021839923476934486,0.4044287689308204,0.5737313075922453,"[0.  0.  0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5
 0.5 0.5 0.5 0.5]",0.02183992347693449,1.0000000000000036,-5.204170427930421e-13,-7.979727989493313e-13,-5.204170427930421e-13,1.734723475976807e-15,-399.9999999999995,-7.979727989493313e-13,-399.9999999999995,-0.49999999999999245,565.686529802504
