lambda1,lambda2,x_optimal,loss_optimal,cov_11,cov_12,cov_21,cov_22,sensitivity_norm
0.5488135039273248,0.45118649607267525,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]",0.45118649607267525,-1.0000000000000009,400.00000000000034,400.00000000000034,1.0000000000000009,565.6871927134293
0.7151893663724195,0.2848106336275805,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]",0.2848106336275805,-1.0000000000000009,400.00000000000034,400.00000000000034,1.0000000000000009,565.6871927134293
0.6027633760716439,0.3972366239283561,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]",0.3972366239283561,-1.0000000000000009,400.00000000000034,400.00000000000034,1.0000000000000009,565.6871927134293
0.5448831829968969,0.45511681700310314,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]",0.45511681700310314,-1.0000000000000009,400.00000000000034,400.00000000000034,1.0000000000000009,565.6871927134293
0.4236547993389047,0.5763452006610953,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]",0.5763452006610953,-1.0000000000000009,400.00000000000034,400.00000000000034,1.0000000000000009,565.6871927134293
0.6458941130666561,0.3541058869333439,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]",0.3541058869333439,-1.0000000000000009,400.00000000000034,400.00000000000034,1.0000000000000009,565.6871927134293
0.4375872112626925,0.5624127887373075,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]",0.5624127887373075,-1.0000000000000009,400.00000000000034,400.00000000000034,1.0000000000000009,565.6871927134293
0.8917730007820798,0.10822699921792023,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]",0.10822699921792023,-0.9999999999999994,400.00000000000006,400.00000000000006,0.9999999999999994,565.687192713429
0.9636627605010293,0.03633723949897072,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]",0.03633723949897072,-1.0000000000000002,399.99999999999994,399.99999999999994,1.0000000000000002,565.6871927134288
0.3834415188257777,0.6165584811742223,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]",0.6165584811742223,-1.0000000000000009,400.00000000000034,400.00000000000034,1.0000000000000009,565.6871927134293
